name,latitude,longitude,suburb_id
Victoriaborg,5.550725288945736,-0.19725829403485684,1
East Ridge,34.9949354690234,-85.22464835786998,2
West Ridge,5.558795615698128,-0.20771064828737007,3
North Ridge,5.567911999401812,-0.19222068441759996,4
Usshertown,5.543296982193049,-0.21309366240060734,5
Osu,5.557028446588415,-0.17581863016506272,6
Mataheko,5.566172156278807,-0.2481048116010064,7
Cantonments,5.576857274745243,-0.17830786879766952,8
Labone,5.568053292436006,-0.17267530114961677,9
Airport Residential Area,5.607572939497941,-0.18359947280974925,10
Roman Ridge,5.603481993918204,-0.1951557943127527,11
Adabraka,5.562988041560428,-0.21163055139305326,12
Asylum Down,5.568240727810714,-0.2071449749618672,13
McCarthy Hill,5.564390525232375,-0.29768226649148605,14
Airport Hills,5.615355794538434,-0.14341233294535413,15
Dansoman,5.54919153428196,-0.2561442383920633,16
Adenta,5.718137030616694,-0.15996542687023765,17
Kaneshie,5.576204124221918,-0.2446399153792841,18
Kokomlemle,5.5753228299629045,-0.20727450170570838,19
West Legon/Westlands,5.653988955662726,-0.20867821805619302,20
Abelemkpe,5.609534973765628,-0.21622119292250497,21
Dzorwulu,5.613794491770911,-0.19518629975927343,22
East Legon,5.6360822045306795,-0.1600751263095722,23
Awoshie,5.586535111369994,-0.2787234736062375,24
Alajo,5.598601443486721,-0.21726703878961862,25
Kotobabi,5.599329247147,-0.2034765971750303,26
Christian Village,5.631669983874022,-0.22324426057045038,27
New Acra Town,5.586988560337091,-0.21186187742239415,28
Lartebiokorshie,5.55113560682245,-0.23977708922626997,29
Odorkor,5.5760005505601296,-0.26211345003745906,30
Labadi,5.564830785424492,-0.15678855818819848,31
Tesano,5.605332278244894,-0.232951342562616,32
Teshie,5.5846148048627935,-0.10162353441753587,33
Maamobi,5.593574679422424,-0.1961926434785971,34
Abeka,5.595500717345612,-0.2426932071522069,35
Lapaz,5.610997264394199,-0.2485537718560147,36
Nima,5.585125208002253,-0.20073650235886942,37
Madina,5.67317139472009,-0.16565542452901147,38
Achimota,5.613677710598501,-0.23443089623190605,39
Tema,5.701213165254079,0.021655983871629373,40
Accra Metropolitan,5.546496048340753,-0.2110071650158212,41
Kwashieman,5.593873593772809,-0.26950027220747463,42
Darkuman,5.5905625100726315,-0.250443279868646,43
Akweteyman,5.6130665369029025,-0.24023131812510604,44
Abossey Okai,5.5618019881333485,-0.23871373811404112,45
Bubiashie,5.57880787204536,-0.25019019298611717,46
Mpoase,5.528965632745328,-0.26469210623641665,47
Sabon Zongo,5.552473549406707,-0.2351653892896936,48
Mamprobi,5.536776738680185,-0.242251720725645,49
Korle Gonno,5.532862330505247,-0.22716195343750922,50
Kanda,5.576293150975519,-0.1935046064128002,51
Chorkor,5.5292220775596475,-0.24494512046607544,52
Ashaiman,5.693212320672842,-0.03347731311866802,53
