route_id,stop_ids
050A,"['S5917', 'S5918', 'S5919', 'S5921']"
050B,"['S5925', 'S5926', 'S5927', 'S5928', 'S5929', 'S1960', 'S4179', 'S5933', 'S3760', 'S880']"
051A,"['S1672', 'S1673', 'S5943', 'S5944', 'S1677', 'S5946', 'S5947', 'S5949', 'S1682', 'S5951', 'S5952', 'S5953']"
051B,"['S5957', 'S1697', 'S5959', 'S5680', 'S5962', 'S5963', 'S5964', 'S5965', 'S5966']"
052A,"['S5970', 'S5435', 'S5972', 'S415', 'S582', 'S5977', 'S5978', 'S5979', 'S591', 'S5981', 'S593', 'S595', 'S596']"
052B,"['S5988', 'S5989', 'S5990', 'S5991', 'S14', 'S5994', 'S5203', 'S15', 'S5998', 'S620', 'S6001', 'S19', 'S6003']"
055A,"['S6007', 'S2225', 'S4145', 'S4146', 'S6012', 'S6014', 'S6015', 'S1069', 'S6017']"
055B,"['S6021', 'S1188', 'S6024', 'S6025', 'S3162']"
056A,"['S3213', 'S3215', 'S6032', 'S3217', 'S6034', 'S6035', 'S6036']"
056B,"['S6040', 'S6041', 'S5965', 'S3177', 'S881']"
058A,"['S3166', 'S3217', 'S6053', 'S6054', 'S1734', 'S6057', 'S6059', 'S6060']"
058B,"['S6063', 'S6064', 'S6065', 'S6066', 'S6067', 'S6068']"
061A,"['S2194', 'S553', 'S6076', 'S6077', 'S5513', 'S2943', 'S6081', 'S238', 'S6083']"
061B,"['S567', 'S569', 'S6089', 'S6091']"
064A,"['S91', 'S92', 'S94', 'S95', 'S96', 'S97', 'S98', 'S99', 'S100', 'S101', 'S102']"
064B,"['S106', 'S108', 'S109', 'S110', 'S111']"
065A,"['S115', 'S116', 'S117']"
065B,"['S121', 'S122', 'S123']"
066A,['S135']
066B,[]
067A,"['S142', 'S143', 'S144', 'S145', 'S146']"
067B,"['S150', 'S151', 'S152', 'S153']"
070A,"['S157', 'S158', 'S160', 'S161', 'S162', 'S164', 'S165', 'S166', 'S167']"
070B,"['S171', 'S172', 'S173', 'S175', 'S177', 'S179', 'S180', 'S181']"
071A,['S187']
071B,"['S175', 'S179', 'S192', 'S193']"
072A,[]
072B,['S200']
074A,"['S204', 'S205', 'S206', 'S207']"
075A,['S210']
075B,['S214']
076A,"['S3944', 'S6125', 'S6126', 'S2879']"
076B,"['S566', 'S567', 'S569', 'S6136', 'S6138', 'S6139', 'S6140']"
078A,"['S216', 'S217', 'S219', 'S205', 'S222', 'S206']"
078B,"['S227', 'S228', 'S229', 'S231']"
079A,"['S235', 'S237', 'S238', 'S239']"
079B,"['S241', 'S242', 'S243', 'S246', 'S247', 'S243', 'S249']"
080A,"['S216', 'S254', 'S222', 'S206']"
080B,"['S261', 'S262', 'S263', 'S231', 'S241', 'S267', 'S268', 'S243']"
081A,"['S271', 'S205', 'S276', 'S277', 'S278', 'S280', 'S282', 'S283', 'S285', 'S286', 'S287']"
081B,"['S291', 'S292', 'S293', 'S294', 'S296', 'S297', 'S299', 'S300', 'S301', 'S302', 'S303', 'S304', 'S305', 'S306']"
082A,"['S310', 'S312', 'S313', 'S314', 'S315', 'S316']"
082B,"['S320', 'S321', 'S171', 'S323', 'S173', 'S326', 'S327', 'S329', 'S181', 'S332', 'S334', 'S335', 'S243']"
084A,"['S340', 'S341', 'S342', 'S345', 'S346', 'S347']"
084B,"['S352', 'S353']"
085A,['S357']
085B,['S361']
088A,"['S365', 'S367', 'S368', 'S369']"
088B,"['S373', 'S375', 'S376', 'S378', 'S380', 'S382', 'S384', 'S385', 'S387']"
090A,"['S3814', 'S480', 'S5044', 'S5047', 'S5048', 'S5049']"
090B,"['S5053', 'S5054', 'S3040', 'S3162', 'S243']"
