route_id,stop_ids
298B,"['S2768', 'S2769', 'S1340', 'S2773', 'S2775', 'S1337', 'S564', 'S566', 'S569', 'S2782', 'S2784']"
299A,"['S2788', 'S2790', 'S1530', 'S2792']"
299B,"['S2796', 'S2797', 'S2799', 'S2801', 'S2802', 'S2803', 'S1001']"
300A,"['S2808', 'S2809', 'S2810', 'S2811', 'S2812']"
300B,"['S78', 'S2818', 'S2819']"
301A,"['S2823', 'S2824', 'S2825', 'S99', 'S907', 'S102']"
302A,"['S1717', 'S2836', 'S2837']"
302B,"['S2841', 'S111', 'S2843', 'S2178', 'S2803']"
303A,"['S2849', 'S1717', 'S2851', 'S2852', 'S1754', 'S1954']"
303B,"['S1769', 'S1961', 'S1705', 'S1772', 'S1350', 'S1023', 'S2178']"
305A,"['S6251', 'S6252', 'S1925', 'S6254', 'S1923', 'S6258', 'S2052', 'S1880', 'S6262', 'S6263', 'S2375', 'S210']"
305B,"['S6266', 'S2468', 'S2583']"
306A,"['S1223', 'S117']"
307A,"['S552', 'S2879']"
307B,"['S564', 'S2885', 'S2886']"
308A,['S205']
308B,"['S2895', 'S2896', 'S2897']"
309A,"['S2901', 'S1387', 'S2903', 'S2904']"
309B,"['S561', 'S1337', 'S2911', 'S2897']"
310A,"['S1530', 'S2925']"
310B,"['S231', 'S1039', 'S2938']"
311A,"['S235', 'S2943', 'S238', 'S2945']"
311B,"['S2949', 'S2950', 'S2951', 'S2952', 'S2953', 'S2954', 'S2955', 'S2956', 'S1337', 'S2958', 'S2897']"
313A,['S2963']
313B,['S874']
314A,"['S2971', 'S853', 'S2974', 'S2975', 'S2976']"
314B,"['S2355', 'S2981', 'S2982', 'S2357']"
317A,[]
317B,['S2991']
318A,"['S1993', 'S2335', 'S2998', 'S3000', 'S3001', 'S2522', 'S3003', 'S3004', 'S2523', 'S3007', 'S3008', 'S278', 'S280', 'S282']"
321A,"['S3016', 'S722', 'S3020', 'S726', 'S3022']"
321B,"['S3026', 'S3027', 'S3028', 'S3030', 'S3032', 'S3034', 'S3035', 'S3036', 'S682', 'S3039', 'S3040']"
322A,"['S3043', 'S1927', 'S3046']"
322B,"['S3050', 'S1350', 'S3053', 'S3055']"
324A,"['S1732', 'S3060', 'S3061']"
324B,['S3065']
325A,"['S3069', 'S3070']"
325B,"['S3074', 'S874']"
326A,"['S1732', 'S3081', 'S3082', 'S3083', 'S3085']"
326B,"['S3089', 'S3090', 'S3092', 'S3074', 'S3094']"
328A,['S3098']
328B,[]
331A,"['S3105', 'S3106', 'S3107', 'S3108', 'S238']"
331B,"['S35', 'S3114']"
333A,"['S2522', 'S3004', 'S2523', 'S1573', 'S278', 'S3124', 'S2528', 'S286']"
333B,"['S682', 'S335', 'S3137']"
334A,"['S3142', 'S509', 'S833', 'S3146', 'S3147', 'S3148', 'S3149']"
334B,"['S3153', 'S3155', 'S3156', 'S301', 'S303', 'S306', 'S752', 'S3162']"
336A,"['S3166', 'S3167', 'S144', 'S3169', 'S3170', 'S3171']"
336B,"['S3176', 'S3177']"
337A,[]
337B,"['S3185', 'S684', 'S3137']"
338A,['S3192']
339A,[]
339B,[]
342A,"['S3202', 'S3204']"
342B,"['S3208', 'S451']"
343A,"['S3213', 'S3215', 'S3216', 'S3217', 'S3218']"
343B,"['S3222', 'S3223']"
344A,"['S3227', 'S3228', 'S3229']"
344B,"['S3233', 'S880', 'S881']"
345A,[]
345B,"['S3243', 'S2931']"
347A,['S3248']
347B,['S3252']
348A,[]
348B,['S752']
349A,['S3263']
349B,[]
351A,"['S517', 'S3271', 'S494', 'S509', 'S3142', 'S3277', 'S3278', 'S3279', 'S393', 'S3281', 'S3282', 'S3283', 'S3284']"
351B,"['S3288', 'S3290', 'S3291', 'S503', 'S3294', 'S3295', 'S3296']"
353A,"['S3300', 'S3301']"
353B,['S3305']
356A,"['S3308', 'S552', 'S2194', 'S551', 'S3313', 'S3314', 'S3315', 'S3316', 'S3317']"
356B,"['S3321', 'S569', 'S3323', 'S2885', 'S3326', 'S3327']"
357A,['S3331']
357B,['S3335']
363A,"['S3339', 'S3340', 'S3341']"
363B,"['S3345', 'S3346', 'S3347', 'S3348', 'S3349', 'S3350', 'S3351', 'S3352']"
366B,"['S3357', 'S32', 'S62', 'S3360', 'S3361', 'S3362']"
367A,['S3366']
367B,"['S3370', 'S2799', 'S3372', 'S3373', 'S3375', 'S3377', 'S1364', 'S3380', 'S3381', 'S3382']"
368A,"['S3386', 'S3387', 'S2194', 'S551']"
368B,"['S3393', 'S3394', 'S3395']"
369A,"['S2673', 'S1312', 'S1313', 'S3402']"
369B,"['S3406', 'S3407', 'S3408']"
373A,"['S3412', 'S3413', 'S2191', 'S3415', 'S3416']"
373B,"['S3420', 'S569', 'S2958', 'S3424', 'S3425', 'S3426', 'S3427', 'S3395']"
376A,"['S3433', 'S3434', 'S3435', 'S3436', 'S3437', 'S2195', 'S553', 'S3441', 'S3442']"
376B,"['S1336', 'S1336', 'S1337', 'S1339', 'S561', 'S3451', 'S3453', 'S3454', 'S3455', 'S3427', 'S3458', 'S3395']"
377A,"['S5687', 'S5688', 'S831', 'S833', 'S834', 'S3147', 'S5694', 'S5695']"
377B,"['S5699', 'S5700', 'S801', 'S5702', 'S5703', 'S3153', 'S5705', 'S5706', 'S300', 'S5710', 'S5712', 'S5713', 'S5714', 'S5715', 'S504', 'S684', 'S486', 'S5721']"
378A,"['S5726', 'S3752', 'S1891', 'S5730', 'S1892', 'S5733', 'S5734']"
378B,"['S1747', 'S5739', 'S3760', 'S879', 'S880', 'S5746']"
380A,"['S829', 'S831', 'S5752', 'S5753']"
380B,"['S5757', 'S302', 'S5712', 'S5760', 'S304', 'S5762', 'S842', 'S523', 'S2352', 'S5769', 'S5770']"
381A,[]
381B,"['S5777', 'S451', 'S5779']"
383A,"['S3464', 'S3465', 'S3466', 'S3467']"
383B,"['S3185', 'S3472', 'S3473', 'S3474']"
384A,"['S3478', 'S722', 'S3020', 'S726', 'S727']"
384B,"['S3486', 'S3487', 'S2547', 'S2026', 'S3490']"
385A,"['S3494', 'S2879']"
385B,"['S3499', 'S3500', 'S1336', 'S1337']"
386A,"['S2220', 'S1570', 'S2523', 'S3512', 'S1573', 'S278', 'S282', 'S2528', 'S286', 'S3519']"
386B,"['S3523', 'S3524', 'S1580', 'S1582', 'S3527', 'S2540', 'S3529', 'S1585', 'S3531']"
387A,"['S3535', 'S2220', 'S1570', 'S3539', 'S3540', 'S3541']"
387B,"['S3545', 'S3546', 'S3547', 'S3548', 'S3305', 'S3552', 'S332', 'S1586', 'S2547', 'S1588', 'S1337']"
388A,"['S3565', 'S3567', 'S3568', 'S99', 'S3570', 'S3572']"
388B,"['S3576', 'S1768', 'S1772', 'S110', 'S1350', 'S3584', 'S3585']"
389A,"['S2220', 'S1570', 'S2523', 'S3512', 'S1573', 'S278']"
389B,"['S3601', 'S2885', 'S1336', 'S3326', 'S1337']"
391A,['S3609']
391B,[]
393A,"['S235', 'S3617', 'S239']"
393B,"['S3622', 'S3623', 'S3426']"
394A,"['S3628', 'S3629', 'S3630', 'S3632', 'S3634', 'S3635', 'S3636', 'S3637']"
394B,"['S3641', 'S3642', 'S3643']"
395A,"['S3647', 'S3649', 'S3651']"
395B,"['S2028', 'S3657', 'S3658']"
397A,"['S2523', 'S3663', 'S3664']"
397B,['S3668']
398A,"['S3672', 'S3674', 'S3675', 'S3676']"
398B,"['S3032', 'S3642', 'S3682', 'S1606', 'S3684']"
399A,"['S3688', 'S3689']"
399B,"['S3693', 'S569', 'S3696', 'S3682']"
400A,"['S552', 'S553', 'S3704', 'S3705', 'S468', 'S3708', 'S3709', 'S466']"
400B,"['S1336', 'S3715', 'S3682', 'S3684']"
401A,"['S551', 'S482', 'S3725', 'S3726']"
401B,"['S3730', 'S3732', 'S2357', 'S486', 'S2356', 'S1331', 'S569', 'S567', 'S3741']"
402A,"['S3745', 'S482', 'S3748', 'S3750', 'S3751', 'S3752', 'S1890', 'S1891', 'S2']"
402B,"['S3760', 'S880', 'S3040', 'S3162', 'S752', 'S569', 'S567', 'S3642', 'S3682', 'S1606']"
403A,"['S3777', 'S3778']"
403B,['S3783']
404A,"['S574', 'S3788', 'S3284']"
404B,"['S3793', 'S3794', 'S566', 'S3323', 'S3642']"
405A,[]
405B,['S3642']
406A,"['S4187', 'S4188', 'S4189', 'S4190', 'S4191', 'S4192', 'S99', 'S102', 'S1600', 'S3810', 'S551', 'S3813', 'S3814', 'S480', 'S853', 'S2335', 'S1993', 'S3819', 'S3820', 'S3821', 'S3823', 'S3824', 'S3825']"
406B,"['S3829', 'S3760', 'S880', 'S3833', 'S3835', 'S1331', 'S3642', 'S3839']"
408A,"['S415', 'S417', 'S629']"
409A,"['S551', 'S3851', 'S853', 'S3854', 'S3856', 'S3751', 'S3070', 'S3083', 'S1734']"
409B,"['S3092', 'S3868', 'S2357', 'S2357', 'S486', 'S487', 'S1331', 'S3876', 'S3682', 'S3684']"
410A,"['S3882', 'S3884', 'S3885', 'S3886', 'S1111', 'S3888', 'S2401', 'S3891']"
410B,"['S3895', 'S3897', 'S3899', 'S3584', 'S3585']"
412A,"['S3906', 'S3907']"
412B,"['S3911', 'S3912', 'S3783']"
414A,"['S3917', 'S1570', 'S3919', 'S1573', 'S278', 'S282']"
414B,"['S3926', 'S3927', 'S3642', 'S3839', 'S3682', 'S1606', 'S3684', 'S1609', 'S3642']"
415A,"['S2510', 'S3942', 'S3943', 'S3944', 'S3946']"
415B,"['S3951', 'S3952', 'S3953', 'S3954', 'S3956', 'S3957', 'S3958', 'S782', 'S3927', 'S3642', 'S3682', 'S1606']"
416A,"['S3968', 'S3970', 'S3972', 'S3973', 'S3974', 'S3975', 'S3976', 'S3977', 'S3978']"
416B,"['S3980', 'S3981', 'S3982', 'S3983', 'S1188', 'S3986', 'S3988', 'S3989', 'S3990', 'S3991']"
417A,['S239']
417B,"['S1464', 'S4001', 'S4002', 'S4003', 'S4004']"
419A,"['S4008', 'S4009', 'S4010', 'S4011', 'S4013', 'S4014', 'S4015', 'S4016', 'S4018']"
419B,"['S4023', 'S4024', 'S4025', 'S4026', 'S4027', 'S4029', 'S4030', 'S4031']"
420A,"['S4035', 'S4036', 'S4037', 'S4038', 'S4039']"
420B,"['S1339', 'S4041', 'S4042', 'S4043']"
421A,['S4047']
421B,"['S4051', 'S4052']"
422A,"['S280', 'S282', 'S2528', 'S286', 'S4062', 'S4063']"
422B,"['S4067', 'S1581', 'S4069', 'S1585', 'S332', 'S1586', 'S3487', 'S1588', 'S1589', 'S1613']"
423A,"['S4083', 'S4085', 'S4086']"
423B,"['S4090', 'S4091', 'S4092']"
424A,"['S4096', 'S4097', 'S4098', 'S759', 'S760', 'S4101', 'S4102', 'S4104', 'S4105', 'S765', 'S766']"
424B,"['S4027', 'S1613', 'S1615', 'S4116']"
425A,"['S4120', 'S4121', 'S4122', 'S4101', 'S4102', 'S765', 'S4127']"
425B,"['S771', 'S4132', 'S4134', 'S4136', 'S4137', 'S773', 'S1613', 'S2517']"
428A,"['S4145', 'S4146', 'S4147', 'S4148', 'S759', 'S4150', 'S4151', 'S4152', 'S4153']"
428B,"['S4156', 'S4027']"
431A,"['S4162', 'S914']"
431B,"['S937', 'S4168']"
434A,"['S4172', 'S4173']"
434B,"['S4177', 'S4179']"
435A,"['S2823', 'S4185', 'S4186']"
435B,[]
436A,"['S4201', 'S4202', 'S4203']"
436B,"['S4207', 'S4208', 'S4209']"
437A,[]
437B,['S1705']
438A,"['S4221', 'S4222', 'S2668', 'S4224', 'S4225', 'S1166']"
438B,"['S4230', 'S1777', 'S4232', 'S1668', 'S1025', 'S1102', 'S2165']"
441A,"['S2212', 'S4242']"
441B,[]
442A,[]
442B,[]
443A,['S4254']
443B,[]
444A,"['S4261', 'S4263', 'S4265', 'S1313', 'S4268', 'S4269']"
444B,"['S4273', 'S2094', 'S2096', 'S2097', 'S4278', 'S4279', 'S4280', 'S2578', 'S4283', 'S4284']"
445A,"['S4261', 'S2288', 'S2289', 'S4292', 'S3884', 'S2133', 'S4296']"
445B,"['S4300', 'S4301', 'S4302', 'S214', 'S2096', 'S2097', 'S4278', 'S2311', 'S2578', 'S4310']"
446A,"['S4314', 'S4315', 'S2288', 'S4317', 'S4319', 'S4320', 'S4320', 'S4322', 'S4323']"
446B,"['S2093', 'S2094', 'S4329', 'S4330', 'S2096', 'S4333', 'S4278', 'S4279', 'S2578', 'S4284']"
447A,"['S4346', 'S4261', 'S4317', 'S1164', 'S4352', 'S1166']"
447B,"['S937', 'S1001', 'S4360', 'S4361', 'S214', 'S2097', 'S4278', 'S4279', 'S2578', 'S4284']"
449A,"['S4373', 'S4374', 'S1297']"
449B,['S4378']
452A,"['S4382', 'S4383', 'S4384', 'S4386', 'S4388']"
452B,"['S1238', 'S4393', 'S4394', 'S4395', 'S4378', 'S4397', 'S4398']"
454A,['S4402']
454B,"['S1613', 'S4408', 'S4409', 'S4410', 'S4411', 'S4412']"
455A,"['S4416', 'S4417', 'S3649', 'S4421', 'S4422']"
455B,"['S4427', 'S4409', 'S4410', 'S4427']"
456A,"['S1069', 'S4437', 'S4438', 'S1568', 'S2220', 'S1570', 'S2523', 'S4446', 'S4447', 'S278', 'S280', 'S282']"
456B,"['S3527', 'S1584', 'S1585', 'S3487', 'S2547', 'S4463', 'S4465', 'S4466', 'S4467', 'S4468', 'S4469', 'S4470', 'S1188', 'S3986', 'S3989', 'S1189', 'S4478']"
458A,"['S4482', 'S4483', 'S206']"
458B,"['S4488', 'S4489', 'S2199', 'S1336', 'S2885']"
463A,"['S4162', 'S914', 'S4499', 'S4501', 'S927']"
463B,"['S4506', 'S1000', 'S1153', 'S937', 'S4511', 'S4512']"
467A,"['S4516', 'S2371']"
467B,['S1320']
468A,"['S4525', 'S4526', 'S4527']"
468B,['S4531']
469A,"['S4101', 'S4536']"
469B,"['S4540', 'S4541', 'S4543', 'S4544', 'S4545']"
470A,[]
470B,"['S4552', 'S4553', 'S4554', 'S4545']"
472A,"['S4559', 'S4560', 'S4561', 'S4562', 'S4564', 'S4565']"
472B,"['S4569', 'S1320', 'S4572', 'S4573']"
473A,"['S4577', 'S4578', 'S4579', 'S4580', 'S4581', 'S4582']"
473B,"['S1321', 'S1320', 'S4589']"
474A,"['S914', 'S4596']"
474B,['S4601']
476A,"['S914', 'S928', 'S993']"
476B,"['S999', 'S1153', 'S1001', 'S937', 'S1003', 'S4512']"
480A,"['S4625', 'S4626', 'S4627', 'S4628', 'S4626', 'S2289', 'S2296', 'S2566', 'S2472', 'S4635', 'S981', 'S1313', 'S4638', 'S4639']"
480B,"['S4643', 'S4644', 'S4645', 'S4646']"
485A,"['S915', 'S1164', 'S2318']"
485B,"['S1001', 'S1153', 'S4658', 'S2468', 'S4661', 'S4662', 'S4663', 'S4664', 'S4665', 'S4666']"
486A,"['S4670', 'S4671', 'S4672', 'S4673', 'S4674', 'S4675', 'S914']"
486B,"['S1153', 'S2652', 'S2468', 'S4683', 'S4684', 'S4663', 'S4686', 'S4665', 'S4689']"
488A,"['S2401', 'S4694', 'S4696', 'S1110', 'S4699', 'S2136', 'S4701', 'S4702', 'S4703']"
488B,"['S4707', 'S4708', 'S2583', 'S4710', 'S4711', 'S4712', 'S4713', 'S4714']"
490A,"['S4718', 'S4719', 'S4083', 'S2508']"
490B,"['S1023', 'S4727', 'S4729', 'S4731', 'S4711', 'S4734', 'S4735', 'S4714', 'S4739']"
492A,"['S4743', 'S4744', 'S1992', 'S4747', 'S4749', 'S3171', 'S146']"
492B,"['S4756', 'S4758', 'S1239', 'S4760']"
520A,"['S4764', 'S914', 'S4501', 'S4769', 'S4771', 'S4772', 'S4773', 'S928', 'S991']"
520B,"['S934', 'S1000', 'S1153', 'S937', 'S4784', 'S4573', 'S4786', 'S4554']"
521A,"['S4792', 'S885', 'S4577', 'S4559', 'S4797', 'S4580', 'S4562', 'S4564', 'S890', 'S891', 'S4806']"
521B,"['S4810', 'S896', 'S1322', 'S4813', 'S1320', 'S4815', 'S4816', 'S4817', 'S4554']"
522A,"['S4822', 'S4823', 'S4824', 'S4825', 'S2401', 'S2403']"
522B,"['S4831', 'S2437', 'S2468', 'S4834', 'S937', 'S4554']"
523A,"['S4840', 'S4841', 'S4842', 'S4843', 'S4844', 'S4845']"
523B,"['S4850', 'S4851', 'S4852', 'S4853', 'S4855', 'S4856', 'S4857', 'S4858']"
524A,"['S4863', 'S2666', 'S914', 'S927', 'S928', 'S991', 'S4869', 'S4870', 'S4871']"
524B,"['S4875', 'S4876', 'S934', 'S1000', 'S1001', 'S937']"
535A,"['S4884', 'S4870', 'S4869', 'S991', 'S2472', 'S4635', 'S1313', 'S4638']"
535B,"['S4895', 'S2468', 'S4897', 'S4898', 'S1845', 'S4900']"
536A,"['S4904', 'S4906', 'S915', 'S925', 'S4911']"
536B,"['S4915', 'S1000', 'S4917', 'S998', 'S934', 'S1179', 'S4922', 'S4924']"
538A,"['S4929', 'S4931', 'S4932']"
538B,"['S2583', 'S2488', 'S2437', 'S4900', 'S4922', 'S4943', 'S4944', 'S4924', 'S4947', 'S4948']"
539A,"['S4952', 'S4953', 'S4954', 'S4870', 'S4956', 'S4319', 'S4958', 'S4960']"
539B,"['S4964', 'S4965', 'S4966', 'S4967', 'S4968', 'S4900', 'S4922', 'S4944', 'S4924', 'S4947', 'S4948']"
540A,['S2455']
540B,[]
542A,"['S2590', 'S2472', 'S4988', 'S2474', 'S2731', 'S890', 'S4993']"
542B,"['S4506', 'S2600', 'S2437']"
543A,"['S5004', 'S4190', 'S904', 'S5007', 'S100', 'S907', 'S102']"
543B,"['S5014', 'S5016', 'S5018', 'S5020', 'S1768', 'S5022', 'S1772', 'S5025']"
544A,"['S5028', 'S2641', 'S4675', 'S4771']"
544B,['S2488']
990A,"['S5083', 'S5084', 'S3341', 'S1925', 'S2370', 'S5088', 'S1792']"
994A,"['S4564', 'S890']"
994B,"['S5098', 'S5099', 'S5100', 'S5101', 'S5102', 'S4816']"
995A,"['S2452', 'S5108', 'S5109', 'S2401', 'S4932', 'S5112']"
995B,"['S4714', 'S5117', 'S5118', 'S4712', 'S2437', 'S1153', 'S5124', 'S5126', 'S4573', 'S4816', 'S4786', 'S4554']"
996A,"['S5136', 'S2510', 'S4085', 'S5139', 'S5140', 'S5141']"
996B,"['S1612', 'S3657', 'S5148', 'S3682']"
997A,"['S5152', 'S1431']"
997B,[]
998A,"['S719', 'S5162']"
998B,"['S5166', 'S4051', 'S4052']"
999A,"['S5172', 'S1734']"
999B,"['S868', 'S5178', 'S877', 'S880', 'S881']"
