stop_id,name,latitude,longitude,suburb_id
T4255,Terminal Christian,5.636479855,-0.150743499,
T5797,Terminal Tse Addo,5.587389946,-0.138276495,
T1499,Terminal Teachers Hall,5.557775021,-0.208026499,
T2575,Terminal Mamponse Station,5.528269768,-0.268456012,
T3302,Terminal Social Welfare,5.672035217,-0.159689501,
T1418,Terminal Novotel,5.556594849,-0.205606505,
T1053,Terminal Kotobabi Police Station,5.591899872,-0.204736002,
T2964,Terminal A-Lang Station,5.597819805,-0.27809,
T2732,Terminal Mamprobi C. Lante,5.526525021,-0.246156506,
T3264,Terminal Yellow House,5.638295174,-0.268959492,
T398,Terminal Dome Pillar 2 Station,5.654095173,-0.2281515,
T3948,Terminal Nyaho,5.617340088,-0.177080505,
T2285,Terminal Ebenezer,5.529564857,-0.270026505,
T4020,Terminal Agblezah Station,5.617219925,-0.124894001,
T195,Terminal Accra New Town Station,5.5834198,-0.208531506,
T2210,Terminal East Legon,5.648214817,-0.150728002,
T4598,Terminal Appiah Danquah,5.546744823,-0.246570997,
T2643,Terminal Shalom Station,5.5292449,-0.2318215,
T1017,Terminal Akoto Lante,5.53889513,-0.213428505,
T5954,Terminal Mahean Station,5.637684822,-0.352550998,
T4847,Terminal Trade Fair,5.569105148,-0.1480745,
T1374,Terminal Immesco,5.590099812,-0.230920501,
T3256,Terminal Tetteh Quarshie,5.620504856,-0.173395,
T931,Terminal Mamprobi Camara,5.536509991,-0.255169511,
T4549,Terminal Osu Penta,5.564859867,-0.181298502,
T1626,Terminal Ablekuma,5.6353302,-0.32166101,
T668,Terminal Ofankor,5.657835007,-0.265362009,
T4623,Terminal Shiabu,5.525229931,-0.256774008,
T3337,Terminal Mataheko New Russia Station,5.55656004,-0.257010505,
T1059,Terminal Apapa Station,5.567415237,-0.163811997,
T4753,Terminal Tabora Alhaji Station,5.625374794,-0.261719495,
T197,Terminal Caprice,5.584535122,-0.216853999,
T3790,Terminal Dome Railway Crossing,5.647005081,-0.236328997,
T4154,Terminal Tsui Bleeo,5.605955124,-0.115867499,
T3542,Terminal Ashaley Botwe,5.677090168,-0.143215001,
T89,Terminal Abossey Okai Camara Station,5.564694881,-0.236644,
T3150,Terminal Agbogba,5.691895008,-0.198717505,
T5985,Terminal Mayera last stop,5.735089779,-0.27200301,
T5215,Terminal Aunti Eku Pallas Town,5.612199783,-0.284537494,
T2415,Terminal Afropa,5.590310097,-0.247191995,
T1288,Terminal Bubiashie Control,5.576954842,-0.2421275,
T3285,Terminal Dome Station,5.641294956,-0.240016505,
T358,Terminal Akweteman Zongo,5.615719795,-0.237439498,
T4518,Terminal Blue Lagoon,5.57123518,-0.272288501,
T3062,Terminal Auntie Aku station,5.611879826,-0.284744993,
T1127,Terminal Atico,5.573550224,-0.249583505,
T5371,Terminal Sarpeiman,5.720089912,-0.30889599,
T2674,Terminal Makola Tudu,5.547345161,-0.207045503,
T6203,Terminal Adeiman,5.712975025,-0.369089007,
T1471,Terminal Ridge Hospital,5.562654972,-0.200297497,
T208,Terminal Accra Zongo Lane,5.544865131,-0.209994003,
T3023,Terminal Tema Habour,5.630620003,0.004512,
T4566,Terminal Alhaji Station,5.52897501,-0.247001499,
