route_id,name,distance_km
088A,Achimota Station to Asofan Station,7.558623006679645
088B,Asofan Station to Achimota Station,7.558623006679645
090A,Achimota Station to Darkuman Station,4.639396417325807
090B,Darkuman to Achimota Station,5.790206819039723
092A,Achimota Station to Ashognman Estate,9.137050837320723
092B,Ashognman Estate to Achimota Station,9.137050837320723
093A,Achimota Station to Dome Pillar 2 Station,3.71232040227183
093B,Dome Pillar 2 Station to Achimota Station,3.71232040227183
094A,094A,2.314338583591038
094B,Fise Junction to Achimota Station,11.330635626583883
095A,Achimota Station to Israel Station,4.894703046409138
095B,Israel Station to Achimota Station,4.894703046409138
096A,Achimota Station to Kotobabi Down Station,3.325269676061291
096B,Kotobabi Down Station to Achimota Station,3.325269676061291
098A,Achimota Station to Abeka lapaz,2.7778015268556007
098B,Abeka lapaz to Achimota Station,2.7778015268556007
099A,Achimota to Legon Station,6.028853226580156
099B,Legon Station to Achimota Station,6.033255301695573
100A,Achimota Station to Legon Station,6.033255301695573
100B,Legon Station to Achimota Station,6.033255301695573
102A,Achimota Station to Madina Station,8.582258341070022
102B,Madina Station to Achimota Station,8.582258341070022
103A,Achimota to Mallam Attah Station,4.969867962471495
103B,Mallam Attah Station to Achimota Station,4.923063056427896
104A,Achimota to Adusa Quarters,13.640572201155075
104B,Adusa Quarters to Achimota Station,13.687423533602978
105A,Achimota to Kotoku Terminal,19.611037273162193
105B,Kotoku Terminal to Achimota Station,19.65467212938622
107A,Achimota to Ofankor,5.964343132053716
107B,Ofankor to Achimota,5.964343132053716
112A,Achimota to Ashaiman Station,22.638929725861836
112B,Ashiaman Station to Achimota Old Station,22.138172964932032
114A,Achimota to Taifa Station,5.068807592611928
114B,Taifa Station to Achimota Station,5.1150417797709915
116A,Achimota to Tema C'mty One,25.354328018286477
116B,Tema C'mty One to Achimota Station,25.3384112427478
117A,Achimota Station to Tema Main Station,25.318741937623155
117B,Tema Main Station to Achimota Station,25.318741937623155
118A,Achimota Station to Teshie Nungua,16.360330637541125
118B,Nungua Station to Achimota Station,16.350455057965398
120A,Achimota to Ashongman,9.326858356217528
120B,Ashongman to Achimota,9.326858356217528
121A,Achimota to Haatso,5.647139102283391
121B,Haatso to Achimota,5.647139102283391
122A,Achimota to Sowutuom Station,6.294101211741595
122B,Sowutuom Station to Achimota Station,6.316648356091488
123A,Achimota Station to Dome,4.63632424149937
123B,B to Achimota Station,4.288392995685932
139A,Agbogbloshie Station to Chemuna Station,4.527006783383807
139B,Chorkor Station to Agbobloshie Station,4.566075994132442
140A,Agbogbloshie Station No. 2 to Kasoa Station,22.62995466208527
143A,Agbogbloshie Station to Mamprobi,3.372641419225499
143B,Mamprobi to Agbogbloshie Station,3.372641419225499
144A,Agbogbloshie Station No. 2 to Mamprobi Camara,4.250313302672309
144B,Mamprobi Camara to Agbogbloshie Station,4.453807419317294
146A,Agbogbloshie Station to Russia,4.062933165430943
146B,Russia to Agbogbloshie Station No. 2,3.7382645931442275
147A,Agbogbloshie Station to Tema Newtown Terminal,29.02828972095945
149A,Agbogbloshie Station to Camara Station,4.464553269390476
149B,Camara Station to Agbogbloshie Station,4.464553269390476
